"nerprun","pres","x","y"
"absence",0,-600642.159999989,234989.690000005
"absence",0,-601542.159999989,235089.690000005
"absence",0,-601342.159999989,235089.690000005
"absence",0,-601142.159999989,235089.690000005
"absence",0,-600942.159999989,235089.690000005
"absence",0,-600742.159999989,235089.690000005
"absence",0,-600542.159999989,235089.690000005
"absence",0,-601742.159999989,235189.690000005
"absence",0,-601442.159999989,235189.690000005
"absence",0,-600842.159999989,235189.690000005
"absence",0,-601642.159999989,235289.690000005
"absence",0,-601842.159999989,235389.690000005
"absence",0,-601542.159999989,235389.690000005
"absence",0,-601342.159999989,235389.690000005
"absence",0,-626529.640000001,278239.721600004
"absence",0,-626346.630800001,278375.934099998
"absence",0,-625877.674699999,278306.937199999
"absence",0,-626177.674699999,278406.937199999
"absence",0,-626077.674699999,278506.937199999
"absence",0,-626395.131999999,278729.234800003
"absence",0,-626276.3649,279045.800000001
"absence",0,-626661.789999999,279098.149999999
"absence",0,-626632.836599998,279329.9056
"absence",0,-626128.174000002,279719.402600005
"absence",0,-626042.895800002,279783.798500001
"absence",0,-626354.335600004,279808.371800005
"absence",0,-626468.510199994,279821.556400005
